Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
D. Cruz,Small Forward,0,0,8,0,0,1.6,'0-4,'0-7,'4-5,'0-0,'0-2,22.22%,'0-4,'0-7,'4-4,'0-0,'0-2,23.53%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-2,'0-0,'0-0,'0-0,'0-0,0.00%,2,1,1,0,1,1,3,1,2,1,3,2,5,2,3,1,4,3,0,0,0,0,1,0.2,1,1,1,0,1,0.8,0,0,0,0,0,0,1,0,0,0,4,1,21:55.0,13:53.0,19:16.0,03:08.0,16:29.0,14:56.0,,,,
K. Kone,Point Guard,5,8,22,12,18,13,'1-5,'4-7,'10-13,'4-7,'8-11,62.79%,'1-5,'4-7,'10-13,'4-7,'8-11,62.79%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'3-6,'0-0,'2-2,'4-5,'2-4,64.71%,4,3,5,4,5,4.2,5,6,10,5,6,6.4,9,9,15,9,11,10.6,0,0,0,0,0,0,1,1,0,1,1,0.8,0,0,0,0,1,0.2,0,4,4,4,6,3.6,28:59.0,38:07.0,39:08.0,37:24.0,34:10.0,35:33.0,,,,
L. Dela Paz,Power Forward,2,6,0,3,0,2.2,'1-4,'2-4,'0-0,'1-2,'0-1,36.36%,'1-3,'0-2,'0-0,'0-1,'0-0,16.67%,'0-1,'2-2,'0-0,'1-1,'0-1,60.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,2,0,0,1,0,0.6,0,2,1,5,0,1.6,2,2,1,6,0,2.2,3,0,0,0,2,1,1,0,0,1,1,0.6,0,0,0,0,0,0,2,1,0,3,0,1.2,16:03.0,09:42.0,03:10.0,12:44.0,16:58.0,11:43.0,,,,
M. Camba,Small Forward,4,1,4,0,6,3,'1-1,'0-2,'1-4,'0-4,'2-2,30.77%,'1-1,'0-0,'1-2,'0-3,'1-1,42.86%,'0-0,'0-2,'0-2,'0-1,'1-1,16.67%,'2-2,'1-2,'2-6,'0-0,'1-2,50.00%,0,2,2,2,0,1.2,5,1,0,4,7,3.4,5,3,2,6,7,4.6,1,2,3,2,1,1.8,0,2,1,3,0,1.2,0,0,0,0,0,0,5,2,4,2,3,3.2,14:34.0,10:53.0,21:47.0,17:48.0,15:51.0,16:10.0,,,,
K. Sunga,Shooting Guard,7,12,14,11,8,10.4,'2-5,'6-9,'7-8,'4-7,'4-7,63.89%,'2-4,'6-9,'7-8,'4-7,'4-7,65.71%,'0-1,'0-0,'0-0,'0-0,'0-0,0.00%,'3-8,'0-0,'0-0,'3-6,'0-0,42.86%,7,2,3,5,3,4,7,3,4,3,4,4.2,14,5,7,8,7,8.2,2,1,1,0,1,1,0,1,1,5,0,1.4,1,0,0,1,0,0.4,2,2,1,1,1,1.4,25:54.0,31:18.0,22:57.0,28:11.0,33:59.0,28:27.0,,,,
A. Villava-Cua,Small Forward,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-5,'0-0,0.00%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'0-0,'0-4,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,1,1,0,0.4,00:31.0,02:02.0,01:04.0,08:48.0,00:30.0,02:35.0,,,,
M. Rodriguez,Center,1,0,3,0,0,0.8,'0-1,'0-1,'1-1,'0-1,'0-1,20.00%,'0-0,'0-0,'0-0,'0-1,'0-1,0.00%,'0-1,'0-1,'1-1,'0-0,'0-0,33.33%,'1-2,'0-0,'0-0,'0-0,'0-0,50.00%,0,2,0,1,0,0.6,1,0,0,2,0,0.6,1,2,0,3,0,1.2,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1.8,09:03.0,01:36.0,04:37.0,10:54.0,02:20.0,05:42.0,,,,
B. Binaohan,Point Guard,8,4,2,2,15,6.2,'4-9,'2-6,'1-3,'1-2,'6-14,41.18%,'4-8,'2-5,'1-3,'1-2,'3-11,37.93%,'0-1,'0-1,'0-0,'0-0,'3-3,60.00%,'0-1,'0-0,'0-0,'0-0,'0-0,0.00%,2,2,1,1,4,2,4,3,5,4,4,4,6,5,6,5,8,6,4,6,5,5,2,4.4,1,0,1,1,3,1.2,0,0,0,0,0,0,8,4,3,8,1,4.8,29:59.0,35:05.0,27:40.0,28:30.0,31:20.0,30:30.0,,,,
B. Paraiso,Shooting Guard,4,2,13,7,10,7.2,'1-3,'1-7,'3-13,'3-9,'4-10,28.57%,'0-1,'1-5,'1-9,'2-5,'2-6,23.08%,'1-2,'0-2,'2-4,'1-4,'2-4,37.50%,'1-2,'0-0,'5-7,'0-0,'0-0,66.67%,1,3,3,1,0,1.6,2,1,4,5,6,3.6,3,4,7,6,6,5.2,3,1,2,4,0,2,1,0,1,1,0,0.6,0,0,0,0,0,0,0,1,0,0,1,0.4,17:26.0,23:08.0,27:27.0,32:38.0,28:20.0,25:47.0,,,,
L. Sario,Shooting Guard,9,8,7,4,7,7,'4-18,'3-9,'3-9,'1-6,'2-10,25.00%,'3-9,'2-5,'2-8,'1-2,'1-7,29.03%,'1-9,'1-4,'1-1,'0-4,'1-3,19.05%,'0-1,'1-2,'0-0,'2-2,'2-2,71.43%,4,0,1,2,4,2.2,5,4,3,3,7,4.4,9,4,4,5,11,6.6,1,5,0,5,2,2.6,1,2,1,2,2,1.6,1,0,0,0,0,0.2,7,3,3,4,3,4,33:38.0,24:06.0,22:44.0,20:55.0,27:01.0,25:40.0,,,,
B. Dalisay,Power Forward,2,0,7,3,3,3,'1-3,'0-1,'3-9,'1-4,'1-4,28.57%,'1-2,'0-1,'2-3,'1-2,'1-2,50.00%,'0-1,'0-0,'1-6,'0-2,'0-2,9.09%,'0-0,'0-0,'0-0,'1-2,'1-2,50.00%,1,2,0,1,2,1.2,2,1,4,9,0,3.2,3,3,4,10,2,4.4,3,1,1,5,5,3,0,0,1,1,1,0.6,0,0,0,0,0,0,1,7,2,3,4,3.4,22:05.0,11:29.0,21:48.0,30:24.0,23:03.0,21:45.0,,,,
E. Delos Reyes,Small Forward,0,1,0,2,1,0.8,'0-0,'0-2,'0-1,'1-2,'0-3,12.50%,'0-0,'0-1,'0-1,'1-2,'0-3,14.29%,'0-0,'0-1,'0-0,'0-0,'0-0,0.00%,'0-0,'1-2,'0-0,'0-0,'1-2,50.00%,0,1,0,1,2,0.8,0,0,1,0,0,0.2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,02:19.0,04:04.0,02:35.0,11:01.0,05:07.0,05:01.0,,,,
C. Santos,Small Forward,0,2,0,0,4,1.2,'0-1,'1-3,'0-3,'0-0,'2-2,33.33%,'0-1,'1-3,'0-3,'0-0,'2-2,33.33%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-1,0.00%,2,0,0,0,0,0.4,0,3,2,0,0,1,2,3,2,0,0,1.4,2,1,0,0,0,0.6,0,1,0,1,0,0.4,0,0,0,0,0,0,2,2,1,1,2,1.6,07:12.0,07:59.0,04:44.0,00:33.0,03:23.0,04:46.0,,,,
A. Bacierto,Shooting Guard,4,4,0,4,2,2.8,'2-4,'2-8,'0-3,'2-4,'1-1,35.00%,'2-3,'2-4,'0-3,'2-4,'1-1,46.67%,'0-1,'0-4,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-2,0.00%,2,0,1,1,2,1.2,3,0,2,2,2,1.8,5,0,3,3,4,3,1,0,0,1,1,0.6,1,3,0,1,1,1.2,0,0,0,0,0,0,0,0,1,4,1,1.2,18:37.0,18:09.0,11:57.0,21:28.0,11:03.0,16:14.0,,,,
P. Mendoza,Power Forward,3,6,11,7,8,7,'1-6,'3-9,'5-11,'3-14,'4-8,33.33%,'1-6,'3-7,'4-10,'3-12,'4-8,34.88%,'0-0,'0-2,'1-1,'0-2,'0-0,20.00%,'1-2,'0-0,'0-0,'1-2,'0-0,50.00%,4,2,4,5,1,3.2,5,5,5,5,0,4,9,7,9,10,1,7.2,1,1,4,1,2,1.8,0,0,3,2,1,1.2,1,0,4,3,1,1.8,2,1,3,5,1,2.4,15:17.0,23:51.0,30:57.0,20:18.0,16:43.0,21:25.0,,,,
L. San Juan,Point Guard,15,19,18,14,19,17,'5-13,'7-20,'6-13,'4-9,'7-21,38.16%,'2-3,'5-10,'2-6,'2-6,'5-9,47.06%,'3-10,'2-10,'4-7,'2-3,'2-12,30.95%,'2-2,'3-3,'2-2,'4-5,'3-4,87.50%,0,2,0,3,3,1.6,5,4,1,2,5,3.4,5,6,1,5,8,5,1,3,4,2,3,2.6,0,3,0,1,0,0.8,0,0,1,0,0,0.2,3,4,5,3,6,4.2,30:30.0,35:33.0,29:21.0,24:38.0,36:48.0,31:22.0,,,,
E. Lopez,Center,2,0,9,7,0,3.6,'1-8,'0-5,'4-11,'3-6,'0-6,22.22%,'1-2,'0-2,'3-4,'2-2,'0-3,46.15%,'0-6,'0-3,'1-7,'1-4,'0-3,8.70%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,2,0,0,0.4,4,1,3,2,3,2.6,4,1,5,2,3,3,4,1,0,1,2,1.6,3,0,0,0,2,1,0,0,0,0,0,0,2,0,2,4,3,2.2,27:20.0,11:33.0,31:59.0,17:37.0,25:09.0,22:43.0,,,,
M. Manguiat,Point Guard,15,4,9,16,22,13.2,'3-12,'1-5,'3-10,'6-13,'7-14,37.04%,'2-6,'0-1,'2-4,'3-4,'2-2,52.94%,'1-6,'1-4,'1-6,'3-9,'5-12,29.73%,'8-12,'1-4,'2-2,'1-2,'3-4,62.50%,1,0,0,2,3,1.2,2,2,4,5,2,3,3,2,4,7,5,4.2,2,4,4,3,1,2.8,2,0,0,0,2,0.8,0,0,0,0,0,0,11,2,2,2,4,4.2,37:09.0,30:04.0,35:33.0,35:10.0,37:35.0,35:06.0,,,,
Y. Villanueva,Shooting Guard,5,7,7,15,10,8.8,'2-6,'3-7,'1-5,'6-10,'4-11,41.03%,'1-3,'2-4,'1-3,'3-4,'2-9,39.13%,'1-3,'1-3,'0-2,'3-6,'2-2,43.75%,'0-0,'0-0,'5-5,'0-0,'0-1,83.33%,2,2,1,4,2,2.2,3,0,5,2,3,2.6,5,2,6,6,5,4.8,0,0,2,0,2,0.8,0,0,0,1,2,0.6,0,0,2,2,1,1,2,2,1,1,4,2,20:36.0,20:00.0,19:56.0,22:02.0,29:57.0,22:30.0,,,,
M. Dela Torre,Center,0,6,3,5,3,3.4,'0-2,'1-5,'1-3,'2-5,'1-5,25.00%,'0-1,'1-4,'1-1,'2-4,'1-4,35.71%,'0-1,'0-1,'0-2,'0-1,'0-1,0.00%,'0-0,'4-5,'1-2,'1-2,'1-2,63.64%,1,4,0,0,3,1.6,2,0,1,2,2,1.4,3,4,1,2,5,3,0,2,0,2,0,0.8,0,1,1,3,1,1.2,0,0,0,0,0,0,0,4,2,3,0,1.8,15:11.0,21:10.0,19:17.0,21:29.0,17:05.0,18:50.0,,,,
M. Paras,Shooting Guard,2,4,4,1,2,2.6,'1-2,'2-5,'2-2,'0-0,'1-3,50.00%,'1-2,'2-5,'2-2,'0-0,'1-3,50.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'1-2,'0-0,50.00%,1,2,0,0,1,0.8,0,3,2,0,0,1,1,5,2,0,1,1.8,0,2,0,1,0,0.6,0,0,0,1,0,0.2,0,0,0,0,0,0,1,0,1,0,1,0.6,13:11.0,26:07.0,20:58.0,07:31.0,11:10.0,15:47.0,,,,
S. Salvani,Point Guard,8,21,29,0,7,13,'2-8,'6-11,'11-21,'0-14,'2-9,33.33%,'2-7,'6-9,'11-18,'0-6,'2-4,47.73%,'0-1,'0-2,'0-3,'0-8,'0-5,0.00%,'4-8,'9-14,'7-9,'0-0,'3-4,65.71%,2,4,2,2,1,2.2,2,4,4,6,9,5,4,8,6,8,10,7.2,5,3,6,5,5,4.8,0,0,7,4,0,2.2,0,0,0,1,1,0.4,2,6,3,11,9,6.2,25:56.0,35:25.0,37:41.0,26:50.0,27:18.0,30:38.0,,,,
J. Nagma,Shooting Guard,6,2,2,2,5,3.4,'3-3,'1-3,'1-4,'1-2,'2-6,44.44%,'3-3,'1-3,'1-4,'1-2,'2-6,44.44%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'1-2,50.00%,3,1,1,0,2,1.4,2,1,1,2,5,2.2,5,2,2,2,7,3.6,0,0,0,1,0,0.2,2,1,1,0,0,0.8,0,0,0,0,0,0,1,0,1,2,2,1.2,24:15.0,16:19.0,18:25.0,14:09.0,28:00.0,20:13.0,,,,
J. Libor,Shooting Guard,8,2,0,5,0,3,'2-7,'0-9,'0-2,'2-6,'0-0,16.67%,'1-4,'0-4,'0-1,'1-4,'0-0,15.38%,'1-3,'0-5,'0-1,'1-2,'0-0,18.18%,'3-4,'2-2,'0-0,'0-0,'0-0,83.33%,0,0,0,1,1,0.4,5,1,1,3,1,2.2,5,1,1,4,2,2.6,1,0,1,0,3,1,1,0,0,0,0,0.2,0,0,0,0,0,0,2,2,2,0,5,2.2,19:48.0,15:51.0,08:00.0,12:11.0,08:58.0,12:57.0,,,,
R. Ong,Small Forward,0,8,7,1,2,3.6,'0-2,'4-4,'2-6,'0-1,'1-4,41.18%,'0-2,'4-4,'2-6,'0-1,'1-4,41.18%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'3-4,'1-2,'0-0,66.67%,0,1,4,0,0,1,0,1,6,3,2,2.4,0,2,10,3,2,3.4,2,1,0,1,0,0.8,1,2,0,0,1,0.8,0,0,5,1,0,1.2,0,1,2,1,1,1,07:27.0,16:47.0,17:21.0,10:21.0,11:43.0,12:43.0,,,,
M. Pasilang,Shooting Guard,7,6,5,5,18,8.2,'3-6,'2-5,'2-7,'2-8,'7-13,41.03%,'3-4,'2-4,'2-6,'1-5,'5-7,50.00%,'0-2,'0-1,'0-1,'1-3,'2-6,23.08%,'1-2,'2-2,'1-3,'0-0,'2-2,66.67%,2,0,3,2,1,1.6,4,2,3,4,4,3.4,6,2,6,6,5,5,0,0,1,0,1,0.4,0,1,0,0,0,0.2,0,0,0,0,0,0,1,1,0,5,0,1.4,21:07.0,20:50.0,26:40.0,20:59.0,27:59.0,23:31.0,,,,
L. Gavaran,Center,0,2,2,3,0,1.4,'0-0,'1-3,'1-1,'1-5,'0-0,33.33%,'0-0,'1-3,'1-1,'1-5,'0-0,33.33%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'1-2,'0-2,25.00%,0,0,0,2,0,0.4,1,0,1,2,0,0.8,1,0,1,4,0,1.2,0,0,0,0,0,0,0,2,0,0,0,0.4,0,0,0,0,0,0,0,1,1,1,0,0.6,02:40.0,08:01.0,02:38.0,11:50.0,02:15.0,05:28.0,,,,
